Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Brand & Model,LitersinEngine,State
Ford,2010.0,Falcon,Ute / Tray,2010 Ford Falcon XR6 50TH Anniversary,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,10.7,231000.0,Other,"Brooklyn, VIC",6.0,Ute / Tray,2.0,2.0,14999.0,Ford Falcon,4.0,VIC
Land,2014.0,Rover,SUV,2014 Land Rover Range Rover Sport 3.0 V6 SC HSE,USED,Automatic,"6 cyl, 3 L",AWD,Premium,11.3,79053.0,Grey,"Mansfield, QLD",6.0,SUV,4.0,5.0,59800.0,Land Rover,3.0,QLD
GWM,2023.0,UTE,Kedron Haval & Great Wall Online,2023 GWM UTE Cannon Vanta (4X4),NEW,Automatic,"4 cyl, 2 L",4WD,Diesel,9.4,16.0,Black,"Kedron, QLD",4.0,Ute / Tray,4.0,5.0,48085.0,GWM UTE,2.0,QLD
Mitsubishi,2015.0,Triton,Ute / Tray,2015 Mitsubishi Triton GLX (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,8.1,151753.0,Black,"Cheltenham, VIC",4.0,Ute / Tray,4.0,5.0,23990.0,Mitsubishi Triton,2.5,VIC
Nissan,2008.0,Navara,Ute / Tray,2008 Nissan Navara RX (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8,244000.0,White,"Slacks Creek, QLD",4.0,Ute / Tray,4.0,5.0,12900.0,Nissan Navara,2.5,QLD
Ford,2017.0,Ranger,Ute / Tray,2017 Ford Ranger XLT 3.2 (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.0,131466.0,White,"Deer Park, VIC",5.0,Ute / Tray,4.0,5.0,41490.0,Ford Ranger,3.2,VIC
GWM,2022.0,UTE,Kedron Haval & Great Wall Online,2022 GWM UTE Cannon Vanta (4X4),NEW,Automatic,"4 cyl, 2 L",4WD,Diesel,9.4,24.0,Red,"Kedron, QLD",4.0,Ute / Tray,4.0,5.0,46085.0,GWM UTE,2.0,QLD
Subaru,2021.0,Impreza,Hatchback,2021 Subaru Impreza 2.0I-L (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.6,46098.0,Red,"Mount Gravatt, QLD",4.0,Hatchback,5.0,5.0,29990.0,Subaru Impreza,2.0,QLD
Ford,2011.0,Ranger,Ute / Tray,2011 Ford Ranger XL (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,9.3,171393.0,Blue,"Rocklea, QLD",4.0,Ute / Tray,4.0,5.0,17999.0,Ford Ranger,3.0,QLD
Honda,2019.0,HR-V,SUV,2019 Honda HR-V VTI-S,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9,25402.0,Grey,"Toowoomba City, QLD",4.0,SUV,4.0,5.0,30995.0,Honda HR-V,1.8,QLD
Mitsubishi,2019.0,Eclipse,SUV,2019 Mitsubishi Eclipse Cross LS (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3,68223.0,Red,"Chermside, QLD",4.0,SUV,4.0,5.0,26999.0,Mitsubishi Eclipse,1.5,QLD
MG,2021.0,HS,SUV,2021 MG HS Core,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3,19122.0,White,"Kedron, QLD",4.0,SUV,4.0,5.0,24498.0,MG HS,1.5,QLD
Mitsubishi,2020.0,Eclipse,SUV,2020 Mitsubishi Eclipse Cross ES (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3,32137.0,Grey,"Chermside, QLD",4.0,SUV,4.0,5.0,29999.0,Mitsubishi Eclipse,1.5,QLD
